1,Length,Line Standard,"Reference Standard Meter Bar / Line
Scale",Meter Bar,1m,48000,1200,For each additional point above 10 points,,10
2,Length,Line Standard,Graticule Scale upto 300 mm,Glass Scale,300 mm,9844,700,For each additional point above 10 points,Laser_UMM,10
3,Length,Line Standard,"Graticule Scale
>300mm -1000 mm",Glass Scale,>300 upto600 mm,29175,1200,For each additional point above 10 points,Q_vision_CM M,10
4,Length,Line Standard,Glass Grid,10X comparator,,10500,4750,For each additional grid with same setting,"Mean of
upto10 grid spacing of each axis",1
5,Length,Line Standard,Measuring Tape (Steel /woven/glass Fibre .),,50 m,5342,600,For each additional meter,IS: 1270-1991,One point per  meter
6,Length,End Standard,single Gauge Block,Slip Gauge,By Comparison Method,15500,,for first gauge block and each gauge   in case the gauges are odd size,"IS: 2984-
2003, ISO:3650- 1998","for first gauge block or each gauge bloack of odd size provided NPL-India accepts  to calibrate ,Deviation from central length #"
7,Length,End Standard,Gauge Block Set,Slip Gauge,By Comparison Method,15500 for first gauge block,350,for subsequent gauge blocks up to 100mm,"IS: 2984-
2003, ISO:3650- 1998","for first gauge block of set with traditional denomination considered by NPL- india, , Deviation from central length #"
8,Length,End Standard,Gauge Block Set,Slip Gauge By Comparison Method  ( Designated M112),By Comparison Method,54350,350,for subsequent gauge blocks up to 100mm,"IS: 2984-
2003, ISO:3650- 1998","for first gauge block of set with traditional denomination considered by NPL- india,  Deviation from central length #"
9,Length,End Standard,Gauge Block Set,Slip Gauge By Comparison Method  / Designated  M125,By Comparison Method,58900,350,for subsequent gauge blocks up to 100mm,"IS: 2984-
2003, ISO:3650- 2000","for first gauge block of set with traditional denomination considered by NPL- india,  Deviation from central length #"
10,Length,End Standard,Gauge Block Set,Slip Gauge By Comparison Method  / Designated  M122,By Comparison Method,57850,350,for subsequent gauge blocks up to 100mm,"IS: 2984-
2003, ISO:3650- 2001","for first gauge block of set with traditional denomination considered by NPL- india,  Deviation from central length #"
11,Length,End Standard,Gauge Block Set,Slip Gauge By Comparison Method  ( Designated M121),By Comparison Method,57500,350,for subsequent gauge blocks up to 100mm,"IS: 2984-
2003, ISO:3650- 2002","for first gauge block of set with traditional denomination considered by NPL- india,  Deviation from central length #"
12,Length,End Standard,Gauge Block Set,Slip Gauge By Comparison Method  / Designated M111,By Comparison Method,54000,350,for subsequent gauge blocks up to 100mm,"IS: 2984-
2003, ISO:3650- 2002","for first gauge block of set with traditional denomination considered by NPL- india,  Deviation from central length #"
13,Length,End Standard,Gauge Block Set,Slip Gauge By Comparison Method  / M105,By Comparison Method,51900,350,for subsequent gauge blocks up to 100mm,"IS: 2984-
2003, ISO:3650- 2002","for first gauge block of set with traditional denomination considered by NPL- india,  Deviation from central length #"
